narration_id,narration_text
34,"The walls are covered with wall climbing steps and grips, the walls are shaped in unique ways with some wrapping around the room and protruding out. The walls are painted in green and white with the grips and handles being coloured in multiple colours like blue green grey and white. A few people are climbing the walls, some are resting on the floor. There are 5 people in this room. One person is sitting by themselves on the floor, later a woman comes to join them, they sit together for a while. The person sitting down is wearing black sweater, the girl is wearing a green and white shirt. The person wearing the black shirt that was originally sitting down alone gets up and walks towards the wall. On the right a man in a green shirt is climbing the wall."
35,"This scene shows a Volkswagen car showroom, there are multiple cars placed around the room, each car has a white pedestal with a written description, the cars vary in colour and shapes. The room is large and well lit. It had an exposed ceiling showing the pipes and the metal holding the room. There is a large glass roof, with metal parts in between the glass. The ceiling structure is painted in white, there is a van hanging from the ceiling. The showroom is empty with no people present. The weather outside is bright, letting in a lot of light into the showroom."
36,"This scene shows a roulette table with no one playing the game. Many people are having side conversations at tables close to the walls. Some are standing while others are sitting at tables. At a distance, there are more people, loud music is playing and there is a disco ball with lights flashing. There is a stairwell behind the roulette table. The place is busy with multiple people walking around. The people are wearing formal clothing. The walls are lit with ink and blue LED lights."
37,"This is a dance hall, with a stage and multiple people watching and listening to the man on the stage. The people are standing and jumping to the rhythm of the music, the man on the microphone is shouting out dancing instructions and laughing. There are many people jumping rhythmically and some are shouting. The hall has flashing red and blue lights, there is a large blue crystal chandelier on the roof. The stage is surrounded by red curtains and red lights. A man moves around the stage taking pictures, he later comes on the stage to take more. The people are dressed in formal wear, many wearing suits and long dresses. The song dies down and people stop dancing."
38,"A man is sitting in a dark cave with small candles lit all around him, he has a hoodie over his head with the strings drawn so that only his eyes and nose can be seen. The hoodie is black. He shines a cellphone flashlight beneath his face. The rock above his head has white words spray painted."
39,"This scene is a tattoo shop, a lady is lying down on a bed with her leg exposed as another man is tattooing her calf. The lady is lying down on her back with her arm below her neck as she is looking at where the man is tattooing. In the shop there are other beds to the corner, and fans and bags on the floor. The walls are painted half with a dark purple paint and the other half being white tiles. The floor is made of cement, the wall next to the tattooed man is mounted with equipment behind plastic covers, they are organized in neat squares and labeled."
40,"This scene is an orange cart on an amusement ferris wheel. The cart is moving backwards slowly, as the cart moves, we see the other cart across from it moving. The ferris wheel is made of white metal, and it's placed inside a loud and busy amusement park with loud alarms ringing and children screaming. The view shows multiple trailer cars parked, an open green field and smaller cars on one side of the park, and on the other side we see other rides and small houses with solar panels on the roof. People are walking in the park, the other rides are colorful and some have bright colourful lights flashing. "
41,"This scene shows a busy to-go food restaurant countertable. There are see-through glass casings displaying various types of food on dishes, there are two countertops separated by an entry into form behind the counter. One counter has blue LEDs flashing and outlining the food display, behind this counter is a man who is giving food to people on the other side of the counter. The area behind the counter is busy with people getting food ready, the workers wear orange shirts and move rushly preparing food. A man standing in front of the counter grabs an item and walks out of the restaurant. In front of the counters there is a fridge with pop drinks. The restaurant is busy with people coming and existing and some waiting for their food. In addition to the one that grabs his food, one man orders and steps back, and two people enter the restaurant. The food place has a designed roof with black pebbles and blue LEDs. The floor has a black and white tile pattern, and a red carpet lines the area in front of the counter and leads to the exist and entrance"
42,"This is the lobby of a movie theater that is well lit, there is a circular desk with white LEDs and a black strip making a strip pattern. The lobby is busy with signs of movies placed on the floor, decorative trees on one side, and a box cutout of a 3D city on one side, on one end of the lobby there are large signs of movie posters, The lobby has a few people walking around, some are sitting on benches attached to the wall waiting. THis movie lobby has a second level with a stairwell on one side, leading to a balcony that's lined with small square papers. There are people giving each other hugs, a family of three walking together. A person going up the stairwell and people checking in at the desk in the lobby. "
43,"THis scene shows a large dog house, with piles of hay spread around the floor, there are some stacks of hay on the sides. A bed that is unmade with a white bedsheet, the room has an exposed ceiling with plywood and wooden studs lining the ceiling. There are toys and tunnel running toys placed all over the area, there is a small castle tent with a blue towel inside it. Behind this castle toy tent there is a small table with a bright yellow table cloth. Across from the table there is a small room, the room is separated by a wall with large open slits and an open doorway. There are small tiny dogs playing and moving around the area, they wag their tails. Some of the dogs are lying on the bed. "
44,"This scene shows a dark path that's lit by one street light. The path is surrounded by trees and bushes. The path is empty, and it leads to a lit area. Lining the pathway is a small concrete railing. The sky is pitch black, and only the side street lights lit up the path"
45,"In this scene there is an empty room with empty chairs that have a small cloth hanging on them. Rectangular windows line the walls, on one side there are shelves mounted to walls with small cedar trees decorated on the shelves. There is an aisle run away splitting the chair sections in half, the aisle leads to a stage area, with a podium on one side. Behind the podium there is a casket decorated with flowers and candles standing on silver pegs. Next to the candles there are green pushes also standing on silver pegs. The casket area is well lit, the casket is cedar brown, and there is a large red square painted on the wall behind the casket."
46,"There is a church hall with its lights dimmed and multiple people sitting on benches holding a small paper as they watch a choir group sing, they are being conducted by a man standing on a pedestal. The choir singers are standing on the stairs in ascending order, they are wearing white while there are instrument players with black suits sitting on chairs on the floor. The conductor has his hand around, the band goes from singing in a low tone to getting louder gradually. The church has large carved arches and pullers."
47,"There are multiple people in a surgery room, they wear sterile blue gowns, hair covers, masks and long cloves. The room is spacious, surrounded by medical equipment, some are on wheels and put to the side while others are close to the physicians. There is a TV on a medical cart to the wall, there is a long wire on the floor plugged into the wall. The physicians are clumped together, two of them are standing on one side of the table passing equipment to the surgeon that they grab from a small table with a blue sterile table cover on top of it and hanging. To the far side there are two people wearing green scrubs. There is peeping and people conversing."
48,"This scene is the inside of a shopping store, with shelves stocked with varying items of multiple colours. The shelves are neatly organized with some areas shopped well and half empty. There are some bins lining the aisle. A lady with a handbasket on her arm looks at the shelves, grabs an item, examines and reads it then puts it in her basket and turns away from the shelf. The store is well lit, with signs on the wall aisle. The floor is clean and white, the store isn’t busy."
49,"This scene shows an open park with neatly cut grass and well landscaped trees, the grass is bright and clean, there is a side walk and trail that goes alongside this open area. There are cars parked on the other side of this park, the skyline is full of tall buildings and skyscrapers. The road is busy with cars going by. Some people are walking on the sidewalk. The sidewalk next to the road is coloured in a brownish red, while the pathways that enter the park area are coloured in grey."
50,"There are multiple people in black uniforms and bullet proof vests, ski masks and pistols standing in a hallway in front of a door that's open. A loud noise is heard and a scream follows, the door gets slammed shut and the people in uniform withdraw and pull their guns out pointing it at the doorway. Some take cover and hide near the stairwell while they have their guns pointed facing the door. Next to the room, there is a stairwell that has glass doors with black frames. Besides these glass doors is a man wearing a blue and white vest, leaning against the wall casually with his hands behind his back, he is wearing a black ski mask. The people in the black uniform are shouting as they move back from the door slowly."
51,"There is a gun range that is covered in white panels with silver metal stripes making a pattern of rectangles. In the gun range there is a woman with yellow soundprove headphones, she has a pistol and is shooting downrange at a green screen. Next to her is a man wearing a black shirt and khaki chinos, the woman is wearing a grey sweater and black pants. In front of the man is a small desk with some items on it. Behind both of them is a man standing, with a green shirt and blue jeans. "
52,"This scene is an open field, that's covered in snow, the field is empty with a trail next going alongside the field. There are trees lying along this trail, they are skinny and have no leaves, there are some ever green trees next to these trees. The trail has multiple foot traffic, and footsteps while the rest of the field is empty and has untouched snow"
53,"There are multiple people sitting on top of a hill that's rocky and has large stones which people sit on, while others are walking around. There are a large number of trees around the area, they are green and bright. The skyline is covered with large sky scrapers that are at a distance. Some people are on their phones, most are sitting as a couple while others are by themselves. The sky is clear and sunny."
54,"There are multiple people sitting on top of a hill that's rocky and has large stones which people sit on, while others are walking around. There are a large number of trees around the area, they are green and bright. The skyline is covered with large sky scrapers that are at a distance. Some people are on their phones, most are sitting as a couple while others are by themselves. The sky is clear and sunny."
55,"This scene shows a man in a gun store, surrounded by varying types of large guns hung on the walls displayed for people to see. There is a counter that has some documents and other items on top of it, next to the counter are some boxes which are stacked against the countertop, there is also a metal storage area and an old TV hung on top of it showing camera footage. Behind the counter there is a small white storage shelf with a large sniper gun on top of it. In this room there is a man who stands in front of a wooden table that is assembling a pistol. He connects parts to put the gun together, he then aims the gun and pulls the tigger"
56,"In this scene there is a gym, with multiple women exercising and following along an exercise program being led by a man on a black stage. The stage has a black platform and two speakers hung on the roof next to it. The gym studio has exposed piping and metal beams with rectangular slits for windows also on the ceiling. There is music playing, and the instructor is shouting instructions and the woman follows along. They are working out, holding a metal bar on their shoulders as they squat and jump back up, after doing this for a few minutes, they switch into performing lounges with the bar still on their shoulders. In front of each person there is gym equipment like weights and a step stool as well as water bottles. The room is adequate lit by a large circular light in the middle and other spot lights on the ceiling."
57,"This scene is a house, the living room and dining room are connected. In the living room there is a large blue sofa that is converted into a bed with a blue blanket put on top. On this sofa bed, there is a woman with blond hair and beige shirt, she is feeding a baby who is lying on a pillow, the baby is moving their hands and feet, and the lady is playing with the baby as she feeds the baby. There is a baby seat on the floor, pillows around the sofa, some framed and decorative artwork on a white shelf, a large plant accompanied by a small plant, a TV on top of a wooden shelf that is a flower pot next to it, and an accent grey chair beside the blue sofa bed. Across the living room there is a dining table with 4 grey chairs."
58,"This scene shows a sidewalk overlooking a city from a height, there is a decorative concrete railing with short pointy pillars between the connected railings. On one side of the railings, there is a large statue with arches and a large medieval era dome on top. There is small signage and electrical boxes next to the sidewalk. There are multiple trees that have no leaves. On the opposite side there is a large downhill with ever green trees and bushes, beyond that is a small city and large hill. The weather is cloudy. The pavement is wet and there are some small puddles. There is a person walking alongside the railing."
59,"A busy train station with multiple carrying luggage and bags, some are carrying bikes and scooters and large carts to store other people's belongings who are riding the train. A man is making an announcement on the PA system. There is some signage hanging around the train station. One train track is empty, while the other track has a train painted in white with a red stripe. A train goes by slowly on the empty train track. The platform is busy with people, there is a staircase going down and exit doors next to each other on one side of the station."
60,"This scene is of a room that is small, and only lit by three candles. There is a small porcelain sink and a silver tap. There are two candles next to this sink. There is an area that is covered by a black tarp on the side of the room, on the other side is a small candle on the floor and the hilt of a sword lying against a wall. The ceiling shows exposed pipes coated in white paint. "
61,"There is a lot of snow everywhere, that is covering the bushes and is on top of the houses. A person is shoveling the snow off the ground. The car they are digging the snow off is covered in snow. The sidewalk is cleared of snow. The houses are complexes in varying colours of green, brown, beige and red. Cars pass by as the person removes the snow from the floor. The sky is clear"
62,(missing)
63,The room has multiple silver cages and wear on the floor. The floor and walls are made out of bricks and white heaters on the bottom half. There is a white door entrance with some vet equipment like an apron and broom. There is a dog barking and running around his cage. 
64,"This scene is of a beach that has some people lying down, the sand is white with a french blocking off the beach area. The water is clear and blue, the sky is clear and sunny. The water waves  crash against the white sand and pull back. Behind the beach is a couple of houses hidden behind some trees. The people are sitting and lying down, some are sitting underneath blue beach umbrellas. "
65,"There is a person with long golden hair playing the piano alone. There are two french windows that are open showing the rooftops of nearby buildings. There is a blue duotang on the window edge. In the room there are other pianos and music sheet stands as well as other cabinets. THe person playing the piano is sitting down. The room is painted in white, and the floor is brown."
66,"This scene shows a veterinary clinic with cages for storing animals that have some toys and litter boxes. The cages are large and white. The cats are climbing the cage and moving around while some are just sitting. In these cages there are some white and black haired cats. The room is clean with white tiles lining the walls. There is a broom, garbage bin, a white trash bag, a blue pet carrier. There is a silver sink with some metal dishes in the sink. There are white cabinets on top of the sink and some kitchen drawers and white storage shelf"
67,There is a large amount of chicken pecking and walking around the uncut grass. They are fenced in by chicken wire. Behind the chickens there is a small house that's white with a large green sign attached to it. Amongst that house there are multiple other bricked houses with brownish roofs. Some of the chickens fly away.
68,"This scene shows a busy and very loud down center with large digital billboards and skyscrapers surrounding the sky line. The sky is clear and sunny. People cross the busy road, yellow taxies and other cars drive around, some sounding their horns. A man with a woman points at something while another lady is posing for a picture, she flays her arms, holds her hips as she takes multiple pictures. Another woman in white and blue jeans is taking the photos. The lady changes where she is taking the picture multiple times."
69,"The scene is a hair salon that's empty except with one man who is getting his hair cut by a stylist. The other chairs are empty, the salon is clean with mirrors and grey chairs. The floor is made of white tiles and grey tiles. The hair stylist is moving around the man getting his hair cut, he walks to his tool desk to change what he is cutting hair with. "
70,"This is the scene of the back of an ambulance, the ambulance is white with bright orange cupboards and storage areas. Some medical equipment is embedded into the walls. There is one paramedic wearing a white mask and blue shirt sitting at the head of a patient who is unconscious. The man is shirtless and covered in a beige blanket. The man has a lot of medical devices on his upper body and an air mask/bag. The woman is writing things in her paper clipboard as she looks around the medical devices. "
71,"There are a lot of pigs behind the green cage, they are all eating from a blue and clear feeding area. Some of the pigs are eating the food while some are moving viciously and fast around the cage bumping into other pigs. The pigs are sectioned off into four cages and there is a catwalk separating the cages in half. There are some food pebbles on the floor but the floor is mostly clear."
72,"A person is playing mini golf in a dark neon coloured mini golf course. There are bright blue neon coloured small mills and mini mountains surrounding the course, with small volcano-like rocks painted in red and black neon. The person slowly swings and hits the golf ball. They crouch down to place the ball first and they hit, and then they crouch down once again. The mini course is empty and only one person is in the brightly coloured dark large empty room. "
73,"This scene is a gun range with a man sitting down aiming down range, he shoots about 5 times.The gun is loud and he takes a minute to aim before each shot. There is no one else shooting but him. He wears a green shirt and white pants with a baseball cap. The shooting range is clean with first aid kits attached to the walls and sound proof white panels surrounding the walls."
74,"This scene is a busy bus stop with people crossing the roads, sitting down waiting for their bus, while others stand to wait. Some people are walking around the city with one bicyclist driving alongside the buses. One red two level bus approaches the stop sign and people board the bus. The other bus travels down the road not stopping at any stop. The sky is clear and sunny, the buildings are old style and one has a large dome while the other is a brown bricked house."
75,"This scene is a busy bus stop with people crossing the roads, sitting down waiting for their bus, while others stand to wait. Some people are walking around the city with one bicyclist driving alongside the buses. One red two level bus approaches the stop sign and people board the bus. The other bus travels down the road not stopping at any stop. The sky is clear and sunny, the buildings are old style and one has a large dome while the other is a brown brick house.
"
76,"The room is small like a prison cell and has one twin sized metal framed bed, there is a wooden desk and chair as well as a closet above the bed there is a small bared window that is lighting the room. There is a silver toilet attached to a sink that has a small mirror above it. The room is painted in grey and white"
77,"This scene is a helicopter landing pad, the area is empty with a small shed painted yellow and silver surrounding the track and a small terminal with large windows. The area is surrounded by a clear field with bright green grass, the sky is a bit cloudy. A yellow helicopter approaches the landing pad slowly. 
"
78,"Three men are in a small room that has one bed with a few items on the bed and white bedding, a small red rug, a reading desk with piles of paper and a clothing area with a small closet and  side desk. The room is clean and organized, the men in the room are laughing hard, and their laughter gets louder and louder. One of them is wearing a grey shirt. black pants and glasses and the other is wearing a blue zip up hoodie and shirt, they laugh and keep their hands close to their body, on their waist mostly "
